norm_cost,norm_days,norm_travel,interest_match,activity_match,rating
0.95,1.0,0.15,1.0,1.0,5
0.92,1.0,0.12,0.9,0.9,5
0.88,1.0,0.10,0.95,1.0,5
0.85,1.0,0.14,0.85,0.9,4
0.80,1.0,0.08,0.8,0.8,4
0.98,1.1,0.18,1.0,1.0,5
0.75,1.0,0.05,0.7,0.8,3
0.60,1.0,0.04,0.5,0.6,2
0.99,1.5,0.25,0.2,0.1,1
0.50,1.0,0.05,1.0,1.0,4
1.10,1.0,0.20,0.9,0.9,3
0.90,0.8,0.15,0.8,0.9,4
0.82,1.0,0.10,1.0,1.0,5
0.94,1.5,0.09,1.0,1.0,4
0.95,1.3,0.29,1.0,1.0,4
0.35,1.0,0.03,0.3,0.4,2
0.90,1.25,0.19,0.6,0.7,2
0.91,1.0,0.21,0.9,1.0,5
0.85,1.0,0.15,0.8,0.9,4
0.97,1.6,0.0,1.0,0.5,3
0.20,1.0,0.02,0.1,0.1,1
0.95,1.0,0.13,1.0,1.0,5
0.88,1.0,0.11,0.9,0.9,4
1.20,1.0,0.25,0.6,0.5,2
0.93,1.0,0.14,1.0,1.0,51.0,1.5,0.0,1.0,0.125,3
0.8333333333333334,0.6666666666666666,0.0,1.0,0.2,2
0.5581395348837209,2.0,0.0,1.0,1.0,4
1.0,1.0,0.0,1.0,0.2,1
1.0,0.6,0.0,1.0,0.4,1
0.86,2.0,0.0,1.0,0.3333333333333333,2
